essai,date plantation_ou_coupe,age,date notation,modalité,parcelle,Note_globale_plein,Note_globale_R,Note_globale_IR,Note_adv_plein,Note_adv_R,Note_adv_IR,Note_pds_plein,Note_pds_R,Note_pds_IR,Cyperus rotundus ,Mimosa pudica ,Cardiospermum halicacabum,Senna occidentalis ,Ipomoea obscura ,Desmodium intortum,Croton bonplandianus,Bidens pilosa ,Passiflora foetida ,Tephrosia purpurea ,Momordica charantia ,Centrosema pubescens ,Lantana camara,Crotalaria retusa ,Commelina benghalensis,Litsea glutinosa ,Sida acuta ,Cajanus scarabeoides,Oxalis corniculata,Argemone mexicana ,Euphorbia hypericifolia,Sonchus asper ,Sonchus oleraceus,Phyllanthus urinaria ,Rottboellia cochinchinensis ,Euphorbia heterophylla ,Chamaesyce hirta ,Amaranthus dubius,Canavalia ensiformis,Hibiscus surattensis ,Lapsana communis ,Solanum mauritianum ,Sigesbeckia orientalis ,Conyza sumatrensis ,Phyllanthus tenellus,Brachiaria eruciformis,Ricinus communis ,,,,,,Cyperus rotundus 
P41,25/7/2018,"1,8",19/9/2018,Tréf,P19,"12,5",20,5,"12,5",20,5,,,,20,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M5,P20,20,10,30,15,20,10,10,0,20,20,0,5,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,TE,P21,"17,5",20,15,"17,5",20,15,,,,20,0,5,1,1,0,0,10,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M4,P22,"22,5",10,35,"7,5",10,5,15,0,30,10,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M3,P23,"22,5",20,25,"12,5",20,5,10,0,20,20,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M1,P24,25,20,30,15,20,10,10,0,20,20,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M1,P25,25,20,30,15,20,10,10,0,20,20,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,TE,P26,15,20,10,15,20,10,,,,20,0,1,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M5,P27,"17,5",10,25,"7,5",10,5,10,0,20,5,0,5,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M3,P28,"17,5",10,25,"7,5",10,5,10,0,20,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,Tréf,P29,"7,5",10,5,"7,5",10,5,,,,10,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M6,P30,"17,5",10,25,"7,5",10,5,10,0,20,10,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M2,P31,20,10,30,"12,5",15,10,15,0,30,10,0,5,0,0,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M4,P32,"22,5",10,35,"7,5",10,5,15,0,30,10,0,1,1,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,TE,P1,45,60,30,45,60,30,,,,5,0,20,5,5,0,0,20,5,1,1,1,1,0,1,0,1,1,0,0,0,10,10,5,0,0,0,1,0,0,0,1,5,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,M4,P2,60,60,60,40,60,20,20,0,40,5,0,20,1,1,0,1,20,1,1,1,1,0,0,1,0,0,0,0,0,0,10,1,10,0,0,0,1,0,0,0,1,1,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,M6,P3,65,60,70,35,60,10,30,0,60,5,0,5,1,1,0,0,20,1,1,0,1,0,0,1,0,0,1,0,0,10,20,1,10,0,0,0,1,0,0,0,1,0,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,M1,P4,50,70,30,45,70,20,5,0,10,10,0,20,1,1,0,1,20,1,0,0,1,0,0,0,0,0,0,0,0,5,5,10,5,0,0,0,5,0,0,0,1,10,0,0,0,0,,,,,,
